ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
292,19650511,005831,-6.7000000000000002,-80.900000000000006,71,4.5999999999999996,20223006
293,19650512,094238,-14.002000000000001,-76.540000000000006,37,5,20223006
294,19650520,095515,-3.77,-80.760000000000005,30,4.9000000000000004,20223006
295,19650529,042516,-10.1,-74.400000000000006,33,4.5999999999999996,20223006
296,19650603,121231,-13.9,-76.400000000000006,82,4.7000000000000002,20223006
297,19650604,145334,-9.1660000000000004,-78.960999999999999,72,4.7999999999999998,20223006
298,19650605,204110,-13.74,-71.599999999999994,73,4.7000000000000002,20223006
299,19650608,054650,-4.0099999999999998,-78.200000000000003,33,4.7000000000000002,20223006
300,19650618,033750,-4.6699999999999999,-80.599999999999994,33,4.7000000000000002,20223006
301,19650618,224518,-11.217000000000001,-73.661000000000001,111,5.5999999999999996,20223006
302,19650621,104641,-3.6699999999999999,-77.890000000000001,25,4.9000000000000004,20223006
303,19650624,032949,-18.375,-70.132999999999996,85,5.2999999999999998,20223006
304,19650624,165405,-15.619999999999999,-70.609999999999999,191,4.7999999999999998,20223006
305,19650626,055514,-9.1240000000000006,-72.974999999999994,49,4.9000000000000004,20223006
306,19650627,170905,-2.6339999999999999,-77.018000000000001,121,5.2999999999999998,20223006
307,19650630,081544,-14.638,-75.947999999999993,38,4.5,20223006
308,19650702,010948,-7.6500000000000004,-76.930000000000007,42,4.9000000000000004,20223006
309,19650702,022816,-7.75,-76.900000000000006,49,4.9000000000000004,20223006
310,19650708,235119,-9.6999999999999993,-79.700000000000003,33,4.7999999999999998,20223006
311,19650709,174641,-7.7000000000000002,-80.799999999999997,33,4.9000000000000004,20223006
312,19650713,175802,-13.199999999999999,-75.099999999999994,102,4.5,20223006
313,19650713,223449,-3.2000000000000002,-77.700000000000003,90,4.9000000000000004,20223006
314,19650714,122957,-17.649999999999999,-69.420000000000002,141,5.2999999999999998,20223006
315,19650715,083124,-6.5999999999999996,-80.900000000000006,36,4.9000000000000004,20223006
316,19650723,151324,-8.8680000000000003,-79.430000000000007,48,5.5,20223006
317,19650724,121608,-3.5,-78.099999999999994,33,4.7000000000000002,20223006
318,19650728,194247,-15.699999999999999,-73.900000000000006,92,4.5999999999999996,20223006
319,19650730,054518,-18.138999999999999,-70.822999999999993,74,5.5999999999999996,20223006
320,19650730,121107,-15.1,-70.799999999999997,192,4.5999999999999996,20223006
321,19650801,043641,-4.8799999999999999,-80.900000000000006,66,4.5,20223006
322,19650801,061359,-16.699999999999999,-71.400000000000006,97,4.5999999999999996,20223006
323,19650803,020153,-7.4290000000000003,-81.364999999999995,27,6,20223006
324,19650807,052607,-9.1999999999999993,-78.700000000000003,70,4.9000000000000004,20223006
325,19650813,005445,-4.3399999999999999,-81.079999999999998,38,5.5999999999999996,20223006
